,a_thaliana_matrix,c_elegans_matrix,d_melanogaster_matrix,e_coli_matrix,human_codon_matrix,s_cerevisiae_matrix,uniform
a_thaliana_matrix,0.0,0.9402182548568677,0.44300346014546815,0.3900042301416867,0.3415558373969437,0.7329801534252374,0.8155088517389212
c_elegans_matrix,0.9402182548568677,0.0,0.5910624952951107,0.5899356915246663,0.9170989850554891,0.49808389707483663,0.46915123135541914
d_melanogaster_matrix,0.44300346014546815,0.5910624952951107,0.0,0.31578718956263474,0.34321947077518056,0.3022643370291102,0.3995901872473083
e_coli_matrix,0.3900042301416867,0.5899356915246663,0.31578718956263474,0.0,0.5301082289273193,0.56169191480318,0.5671291291912239
human_codon_matrix,0.3415558373969437,0.9170989850554891,0.34321947077518056,0.5301082289273193,0.0,0.5553823784527164,0.7022075090871449
s_cerevisiae_matrix,0.7329801534252374,0.49808389707483663,0.3022643370291102,0.56169191480318,0.5553823784527164,0.0,0.2930006879209166
uniform,0.8155088517389212,0.46915123135541914,0.3995901872473083,0.5671291291912239,0.7022075090871449,0.2930006879209166,0.0
